setID,number,name,year,theme,pieces,minifigs,availability,ageRange,dimensions,licensed,retailPrice,minAge,Package_Box,Package_Foil,Package_Other,Package_Polybag
29275,60230,People Pack - Space Research and Development,2019,City,209.0,15.0,Retail,{'min': 5},"{'height': 19.0, 'width': 26.0, 'depth': 6.0, 'weight': 0.153}",False,39.99,5,1,0,0,0
29043,60231,Fire Chief Response Truck,2019,City,201.0,2.0,Retail,{'min': 5},"{'height': 18.9, 'width': 26.0, 'depth': 7.0, 'weight': 0.379}",False,29.99,5,1,0,0,0
29044,60232,Garage Centre,2019,City,234.0,4.0,Retail,{'min': 4},"{'height': 26.0, 'width': 38.0, 'depth': 5.3, 'weight': 0.624}",False,49.99,4,1,0,0,0
29042,60233,Donut Shop Opening,2019,City,790.0,10.0,Retail,{'min': 6},"{'height': 37.4, 'width': 47.6, 'depth': 6.6, 'weight': 1.405}",False,89.99,6,1,0,0,0
29045,60234,People Pack - Fun Fair,2019,City,183.0,14.0,Retail,{'min': 5},"{'height': 18.9, 'width': 26.0, 'depth': 4.5, 'weight': 0.275}",False,39.99,5,1,0,0,0
29064,60235,City Advent Calendar,2019,City,234.0,8.0,Retail,{'min': 5},"{'height': 25.9, 'width': 37.9, 'depth': 6.8, 'weight': 0.387}",False,29.99,5,1,0,0,0
28473,60236,Straight & T-Junction ,2019,City,2.0,0.0,Retail,{'min': 5},"{'height': 26.0, 'width': 30.8, 'depth': 0.6, 'weight': 0.2}",False,14.99,5,0,0,1,0
28472,60237,Curves & Crossroad,2019,City,2.0,0.0,Retail,{'min': 5},"{'height': 26.0, 'width': 30.8, 'depth': 0.6, 'weight': 0.2}",False,14.99,5,0,0,1,0
28062,60238,Switch Tracks,2018,City,8.0,0.0,Retail,"{'min': 5, 'max': 12}","{'height': 18.8, 'width': 35.1, 'depth': 5.7, 'weight': 0.28}",False,15.99,5,1,0,0,0
28471,60239,Police Patrol Car,2019,City,92.0,1.0,Retail - limited,{'min': 5},"{'height': 14.1, 'width': 15.7, 'depth': 4.5, 'weight': 0.15}",False,9.99,5,1,0,0,0
28470,60240,Kayak Adventure,2019,City,84.0,1.0,Retail - limited,{'min': 5},"{'height': 14.1, 'width': 15.7, 'depth': 4.5, 'weight': 0.15}",False,9.99,5,1,0,0,0
29431,60241,Police Dog Unit,2020,City,67.0,2.0,Retail,{'min': 4},"{'height': 14.0, 'width': 15.6, 'depth': 4.4, 'weight': 0.125}",False,9.99,4,1,0,0,0
29432,60242,Police Highway Arrest,2020,City,185.0,2.0,Retail,{'min': 5},"{'height': 19.0, 'width': 16.1, 'depth': 6.0, 'weight': 0.33}",False,29.99,5,1,0,0,0
29433,60243,Police Helicopter Chase,2020,City,212.0,4.0,Retail,{'min': 5},"{'height': 26.0, 'width': 28.2, 'depth': 7.4, 'weight': 0.525}",False,39.99,5,1,0,0,0
29434,60244,Police Helicopter Transport,2020,City,317.0,4.0,Retail,{'min': 5},"{'height': 26.0, 'width': 38.0, 'depth': 6.8, 'weight': 0.716}",False,49.99,5,1,0,0,0
29435,60245,Police Monster Truck Heist,2020,City,362.0,5.0,Retail,{'min': 5},"{'height': 28.0, 'width': 47.8, 'depth': 5.7, 'weight': 0.849}",False,59.99,5,1,0,0,0
29436,60246,Police Station,2020,City,743.0,7.0,Retail,{'min': 6},"{'height': 37.3, 'width': 47.5, 'depth': 9.2, 'weight': 1.845}",False,99.99,6,1,0,0,0
29437,60247,Forest Fire,2020,City,84.0,1.0,Retail,{'min': 5},"{'height': 14.0, 'width': 15.5, 'depth': 4.2, 'weight': 0.134}",False,9.99,5,1,0,0,0
29438,60248,Fire Helicopter Response,2020,City,93.0,3.0,Retail,{'min': 5},"{'height': 14.0, 'width': 16.1, 'depth': 7.2, 'weight': 0.25}",False,29.99,5,1,0,0,0
29439,60249,Street Sweeper,2020,City,89.0,1.0,Retail,{'min': 5},"{'height': 14.0, 'width': 15.6, 'depth': 6.0, 'weight': 0.143}",False,9.99,5,1,0,0,0
29440,60250,Mail Plane,2020,City,74.0,1.0,Retail,{'min': 5},"{'height': 14.0, 'width': 15.6, 'depth': 6.0, 'weight': 0.151}",False,9.99,5,1,0,0,0
29441,60251,Monster Truck,2020,City,55.0,1.0,Retail,{'min': 5},"{'height': 14.0, 'width': 15.5, 'depth': 6.0, 'weight': 0.141}",False,9.99,5,1,0,0,0
29442,60252,Construction Bulldozer,2020,City,126.0,2.0,Retail,{'min': 4},"{'height': 18.8, 'width': 16.1, 'depth': 6.0, 'weight': 0.355}",False,19.99,4,1,0,0,0
29443,60253,Ice-Cream Truck,2020,City,200.0,2.0,Retail,{'min': 5},"{'height': 18.8, 'width': 26.0, 'depth': 6.0, 'weight': 0.371}",False,19.99,5,1,0,0,0
29444,60254,Race Boat Transporter,2020,City,238.0,2.0,Retail,{'min': 5},"{'height': 19.0, 'width': 35.2, 'depth': 8.9, 'weight': 0.564}",False,29.99,5,1,0,0,0
29445,60255,Stunt Team,2020,City,62.0,2.0,Retail,{'min': 5},"{'height': 14.0, 'width': 15.6, 'depth': 4.4, 'weight': 0.104}",False,9.99,5,1,0,0,0
29446,60256,Racing Cars,2020,City,190.0,2.0,Retail,{'min': 5},"{'height': 18.8, 'width': 26.1, 'depth': 6.0, 'weight': 0.342}",False,29.99,5,1,0,0,0
